seed,feature_set,held_generator,auroc
1,legacy51,DALLE2,0.614
1,legacy51,GLIDE,0.912
1,legacy51,Midjourney,0.7
1,legacy51,SD14,0.812
1,legacy51,SD15,0.856
1,legacy51,SDXL,0.44800000000000006
1,legacy51,VQDM,0.66
1,legacy51,Wukong,0.552
1,metadata_geometry(4),ADM,0.7
1,metadata_geometry(4),BigGAN,0.85
1,metadata_geometry(4),DALLE2,0.575
1,metadata_geometry(4),GLIDE,0.7000000000000001
1,metadata_geometry(4),Midjourney,1.0
1,metadata_geometry(4),SD14,0.9500000000000001
1,metadata_geometry(4),SD15,0.95
1,metadata_geometry(4),SDXL,0.9750000000000001
1,metadata_geometry(4),VQDM,0.725
1,metadata_geometry(4),Wukong,0.9
1,metadata_all(7),ADM,0.0
1,metadata_all(7),BigGAN,0.8559999999999999
1,metadata_all(7),DALLE2,0.486
1,metadata_all(7),GLIDE,0.52
1,metadata_all(7),Midjourney,1.0
1,metadata_all(7),SD14,0.95
1,metadata_all(7),SD15,0.95
1,metadata_all(7),SDXL,0.978
1,metadata_all(7),VQDM,0.6
1,metadata_all(7),Wukong,0.9
1,bpp_only(1),ADM,0.0
1,bpp_only(1),BigGAN,0.3980000000000001
1,bpp_only(1),DALLE2,0.40800000000000003
1,bpp_only(1),GLIDE,0.10400000000000001
1,bpp_only(1),Midjourney,0.108
1,bpp_only(1),SD14,0.31200000000000006
1,bpp_only(1),SD15,0.318
1,bpp_only(1),SDXL,0.278
1,bpp_only(1),VQDM,0.22
1,bpp_only(1),Wukong,0.654
1,is_square_only(1),ADM,0.7
1,is_square_only(1),BigGAN,0.825
1,is_square_only(1),DALLE2,0.65
1,is_square_only(1),GLIDE,0.75
1,is_square_only(1),Midjourney,0.8
1,is_square_only(1),SD14,0.8
1,is_square_only(1),SD15,0.8
1,is_square_only(1),SDXL,0.75
1,is_square_only(1),VQDM,0.725
1,is_square_only(1),Wukong,0.775
2,ALL_v1(652),ADM,0.6799999999999999
2,ALL_v1(652),BigGAN,0.6
2,ALL_v1(652),DALLE2,0.712
2,ALL_v1(652),GLIDE,0.896
2,ALL_v1(652),Midjourney,0.774
2,ALL_v1(652),SD14,0.89
2,ALL_v1(652),SD15,0.82
2,ALL_v1(652),SDXL,0.5960000000000001
2,ALL_v1(652),VQDM,0.76
2,ALL_v1(652),Wukong,0.77
2,legacy51,ADM,0.6040000000000001
2,legacy51,BigGAN,0.63
2,legacy51,DALLE2,0.666
2,legacy51,GLIDE,0.9
2,legacy51,Midjourney,0.762
2,legacy51,SD14,0.898
2,legacy51,SD15,0.822
2,legacy51,SDXL,0.544
2,legacy51,VQDM,0.614
2,legacy51,Wukong,0.478
