feature,family,coarse_groups
rich_latent_accel_max,rich_latent_geometry,latent_geometry
rich_latent_accel_early,rich_latent_geometry,latent_geometry
rich_latent_accel_middle,rich_latent_geometry,latent_geometry
rich_latent_accel_late,rich_latent_geometry,latent_geometry
rich_latent_accel_auc,rich_latent_geometry,latent_geometry
rich_latent_accel_slope,rich_latent_geometry,latent_geometry
rich_latent_path_straightness,rich_latent_geometry,latent_geometry
rich_latent_endpoint_displacement,rich_latent_geometry,latent_geometry
rich_latent_cumulative_turn,rich_latent_geometry,latent_geometry
rich_dz_crosscos_0_1,rich_crosstime,crosstime
rich_dz_crosscos_0_2,rich_crosstime,crosstime
rich_dz_crosscos_0_3,rich_crosstime,crosstime
rich_dz_crosscos_0_4,rich_crosstime,crosstime
rich_dz_crosscos_0_5,rich_crosstime,crosstime
rich_dz_crosscos_1_2,rich_crosstime,crosstime
rich_dz_crosscos_1_3,rich_crosstime,crosstime
rich_dz_crosscos_1_4,rich_crosstime,crosstime
rich_dz_crosscos_1_5,rich_crosstime,crosstime
rich_dz_crosscos_2_3,rich_crosstime,crosstime
rich_dz_crosscos_2_4,rich_crosstime,crosstime
rich_dz_crosscos_2_5,rich_crosstime,crosstime
rich_dz_crosscos_3_4,rich_crosstime,crosstime
rich_dz_crosscos_3_5,rich_crosstime,crosstime
rich_dz_crosscos_4_5,rich_crosstime,crosstime
rich_cond_dz_align_t0,rich_alignment,alignment
rich_cond_dz_align_t1,rich_alignment,alignment
rich_cond_dz_align_t2,rich_alignment,alignment
rich_cond_dz_align_t3,rich_alignment,alignment
rich_cond_dz_align_t4,rich_alignment,alignment
rich_cond_dz_align_t5,rich_alignment,alignment
rich_cond_dz_align_mean,rich_alignment,alignment
rich_cond_dz_align_std,rich_alignment,alignment
rich_cond_dz_align_min,rich_alignment,alignment
rich_cond_dz_align_max,rich_alignment,alignment
rich_cond_dz_align_early,rich_alignment,alignment
rich_cond_dz_align_middle,rich_alignment,alignment
rich_cond_dz_align_late,rich_alignment,alignment
rich_cond_dz_align_auc,rich_alignment,alignment
rich_cond_dz_align_slope,rich_alignment,alignment
rich_uncond_dz_align_t0,rich_alignment,alignment
rich_uncond_dz_align_t1,rich_alignment,alignment
rich_uncond_dz_align_t2,rich_alignment,alignment
rich_uncond_dz_align_t3,rich_alignment,alignment
rich_uncond_dz_align_t4,rich_alignment,alignment
rich_uncond_dz_align_t5,rich_alignment,alignment
rich_uncond_dz_align_mean,rich_alignment,alignment
rich_uncond_dz_align_std,rich_alignment,alignment
rich_uncond_dz_align_min,rich_alignment,alignment
rich_uncond_dz_align_max,rich_alignment,alignment
rich_uncond_dz_align_early,rich_alignment,alignment
rich_uncond_dz_align_middle,rich_alignment,alignment
rich_uncond_dz_align_late,rich_alignment,alignment
rich_uncond_dz_align_auc,rich_alignment,alignment
rich_uncond_dz_align_slope,rich_alignment,alignment
rich_guidance_dz_align_t0,rich_alignment,alignment
rich_guidance_dz_align_t1,rich_alignment,alignment
rich_guidance_dz_align_t2,rich_alignment,alignment
rich_guidance_dz_align_t3,rich_alignment,alignment
rich_guidance_dz_align_t4,rich_alignment,alignment
rich_guidance_dz_align_t5,rich_alignment,alignment
rich_guidance_dz_align_mean,rich_alignment,alignment
rich_guidance_dz_align_std,rich_alignment,alignment
rich_guidance_dz_align_min,rich_alignment,alignment
rich_guidance_dz_align_max,rich_alignment,alignment
rich_guidance_dz_align_early,rich_alignment,alignment
rich_guidance_dz_align_middle,rich_alignment,alignment
rich_guidance_dz_align_late,rich_alignment,alignment
rich_guidance_dz_align_auc,rich_alignment,alignment
rich_guidance_dz_align_slope,rich_alignment,alignment
rich_cond_dz_orthfrac_t0,rich_alignment,alignment
rich_cond_dz_orthfrac_t1,rich_alignment,alignment
rich_cond_dz_orthfrac_t2,rich_alignment,alignment
rich_cond_dz_orthfrac_t3,rich_alignment,alignment
rich_cond_dz_orthfrac_t4,rich_alignment,alignment
