feature,sd15_coef,amused_coef,sd15_abs_rank,amused_abs_rank,family,sd15_sign,amused_sign,sign_agree,min_abs_rank
rich_latent_t3_extreme3,0.12016315798672733,0.04205675150075455,29,128,rich_latent_typicality,1,1,True,29
rich_latent_step_auc,-0.11988380186896999,0.04474643045498525,30,100,rich_latent_geometry,-1,1,False,30
rich_score_t2_fft_low,-0.010758851081737917,0.06778454039284705,538,30,rich_score_fft,-1,1,False,30
rich_latent_t3_nearzero,-0.05420411624364639,-0.06713227128114824,177,31,rich_latent_typicality,-1,-1,True,31
rich_guidance_t5_q75,0.11646216499084568,-0.003937537555382912,31,597,rich_guidance_moments,1,-1,False,31
rich_cond_uncond_normratio_t4,-0.11573673437833042,-0.016639889862488957,32,381,rich_alignment,-1,-1,True,32
rich_latent_t2_extreme3,0.1017078746277483,0.06678223116944285,42,32,rich_latent_typicality,1,1,True,32
rich_latent_step_middle,-0.11533533055522142,0.04883024871917534,33,83,rich_latent_geometry,-1,1,False,33
rich_score_crosscos_4_5,-0.10088891512476182,-0.06649735845821499,44,33,rich_crosstime,-1,-1,True,33
rich_score_consecutive_cos_late,-0.10088891512476182,-0.06649735845821499,44,33,rich_score_dynamics,-1,-1,True,33
rich_score_consecutive_cos_t4,-0.10088891512476182,-0.06649735845821499,44,33,rich_score_dynamics,-1,-1,True,33
rich_score_t1_maxabs,-0.1150925301110926,0.04777886262623174,34,89,rich_score_moments,-1,1,False,34
rich_score_t3_maxabs,-0.11463867129044016,0.014765517305889066,35,405,rich_score_moments,-1,1,False,35
rich_score_angle_t4,0.04295288079289891,0.06617526187987692,242,36,rich_score_dynamics,1,1,True,36
rich_score_angle_late,0.04295288079289891,0.06617526187987692,242,36,rich_score_dynamics,1,1,True,36
rich_dz_crosscos_0_3,0.11365445453699019,-0.00399209285717075,36,594,rich_crosstime,1,-1,False,36
rich_latent_endpoint_displacement,-0.11324422568388386,0.04119184316707147,37,134,rich_latent_geometry,-1,1,False,37
rich_score_t0_fft_centroid,-0.027778611089495673,0.06600647770170923,357,38,rich_score_fft,-1,1,False,38
rich_score_t2_mean,0.109176109658737,-0.0066598728459873,38,553,rich_score_moments,1,-1,False,38
rich_guidance_dz_orthfrac_t3,-0.10629464067319395,-0.004916628698174735,39,579,rich_alignment,-1,-1,True,39
rich_score_consecutive_cos_max,-0.09915054322371114,-0.06593505957294897,47,39,rich_score_dynamics,-1,-1,True,39
rich_latent_accel_min,-0.07812306328514247,0.0657336251279274,86,40,rich_latent_geometry,-1,1,False,40
rich_score_t5_mean,-0.10307452821718022,0.03451784120710911,41,167,rich_score_moments,-1,1,False,41
rich_score_angle_min,0.04146876482344104,0.06570344184638881,261,41,rich_score_dynamics,1,1,True,41
rich_score_t5_kurtosis,0.03404279455599381,0.0649996578131161,322,42,rich_score_moments,1,1,True,42
rich_guidance_dz_align_t2,-0.10090741210125605,-0.03559552996139635,43,161,rich_alignment,-1,-1,True,43
rich_score_t4_fft_low,-0.021199939988900896,0.06440504439643456,418,43,rich_score_fft,-1,1,False,43
rich_score_t0_v_autocorr,0.05537638598592679,-0.06430418783158745,171,44,rich_score_spatial,1,-1,False,44
rich_score_t1_channel_cv,-0.0031716109604093116,-0.06352979867323115,625,45,rich_score_spatial,-1,-1,True,45
rich_latent_step_t2,-0.09148983990198768,0.06302907661514873,57,46,rich_latent_geometry,-1,1,False,46
rich_latent_accel_mean,-0.05772536627562499,0.06211120939650337,162,47,rich_latent_geometry,-1,1,False,47
rich_guidance_dz_align_t4,-0.09859501600869817,-0.02095457863625757,48,320,rich_alignment,-1,-1,True,48
rich_latent_accel_t3,-0.09647322396737756,-0.013422819445202286,49,434,rich_latent_geometry,-1,-1,True,49
rich_latent_step_std,-0.008883413725886012,0.06026354965599098,563,49,rich_latent_geometry,-1,1,False,49
rich_guidance_t3_maxabs,-0.09525677364704296,0.02210814829023753,50,296,rich_guidance_moments,-1,1,False,50
endpoint_kurtosis,0.04281921183975123,0.05998598548865133,246,50,endpoint,1,1,True,50
rich_latent_t1_nearzero,0.09319890809895347,-0.04237993548411333,51,125,rich_latent_typicality,1,-1,False,51
rich_latent_step_early,-0.02404915383420744,0.05972862439209553,387,51,rich_latent_geometry,-1,1,False,51
rich_latent_step_max,-0.02329560521883579,0.0595187533601343,395,52,rich_latent_geometry,-1,1,False,52
