feature,family,coef,univariate_auroc,univariate_auroc_direction_free,paired_cohens_d,frac_pairs_fake_higher,sign_stability,boot_coef_std,boot_coef_iqr,boot_ci_lo,boot_ci_hi,abs_coef,abs_coef_rank,sign
rich_guidance_t1_q95,rich_guidance_moments,0.03779894960093777,0.41611111111111115,0.5838888888888889,-0.19478117742528203,0.36666666666666664,0.7166666666666667,0.05852191000942549,0.0818853332342743,-0.08786033768145671,0.12901438852202846,0.03779894960093777,66,1
guidance_t5,legacy_guidance,-0.03680175347800017,0.6266666666666667,0.6266666666666667,0.2971197760587046,0.65,0.6833333333333333,0.04424938984319464,0.06650525743976267,-0.10346036728109807,0.06150776544727896,0.03680175347800017,67,-1
rich_guidance_t5_rms,rich_guidance_moments,-0.036794815948975046,0.6266666666666667,0.6266666666666667,0.297122186068753,0.65,0.6833333333333333,0.04424919218288748,0.06650486256003597,-0.10345631083751801,0.061511456127454386,0.036794815948975046,68,-1
guidance_early,legacy_guidance,0.03435811753541249,0.46138888888888885,0.5386111111111112,-0.10248034279708919,0.4666666666666667,0.7366666666666667,0.03786467513060517,0.04676952068729191,-0.06276365719071288,0.0907643952667555,0.03435811753541249,69,1
rich_guidance_t4_median,rich_guidance_moments,-0.03407839461010868,0.5047222222222223,0.5047222222222223,0.014529055332094816,0.48333333333333334,0.63,0.1317139864120246,0.18074476697904515,-0.3131952980484743,0.19476823318711448,0.03407839461010868,70,-1
guidance_middle,legacy_guidance,-0.032100872933170745,0.37305555555555553,0.6269444444444445,-0.39245626033094455,0.3,0.8633333333333333,0.029395577334122493,0.039354024901063496,-0.08834076609814384,0.024468830006778405,0.032100872933170745,71,-1
rich_guidance_t1_absmean,rich_guidance_moments,0.030549733689856334,0.41750000000000004,0.5825,-0.21687900054745252,0.35,0.69,0.04625827599394519,0.059999491414287176,-0.07801504896382695,0.09865965288537498,0.030549733689856334,72,1
guidance_max,legacy_guidance,0.03040967843781059,0.43444444444444447,0.5655555555555556,-0.23432161273294128,0.4,0.5366666666666666,0.07426760348066974,0.09443322804138256,-0.12727845624140552,0.15485077964384347,0.03040967843781059,73,1
rich_guidance_t1_var,rich_guidance_moments,0.030408788112622133,0.4197222222222223,0.5802777777777777,-0.17594604878700912,0.4,0.5466666666666666,0.07968652912053559,0.11120618839763767,-0.13879089083316,0.16636614882545905,0.030408788112622133,74,1
guidance_late,legacy_guidance,0.02909187139620131,0.5886111111111111,0.5886111111111111,0.22158373557624042,0.5666666666666667,0.8966666666666666,0.03167513526523629,0.04073712279937862,-0.023742320701172437,0.10446822142596439,0.02909187139620131,75,1
rich_guidance_t4_q05,rich_guidance_moments,-0.026929984572753796,0.505,0.505,-0.032723896572455495,0.48333333333333334,0.6766666666666666,0.05008610341683128,0.07040305468715197,-0.12825713357475071,0.06962224964953306,0.026929984572753796,76,-1
rich_guidance_t5_q95,rich_guidance_moments,0.021621752029367333,0.6383333333333332,0.6383333333333332,0.3057255478012382,0.65,0.6933333333333334,0.07808879119040557,0.10745680220674855,-0.10377496456698514,0.1898757096003296,0.021621752029367333,77,1
rich_guidance_t1_q05,rich_guidance_moments,-0.017455774961773803,0.5905555555555556,0.5905555555555556,0.20385513082650963,0.65,0.58,0.06769747427343238,0.09458843781939236,-0.1219987665143356,0.11855153030304236,0.017455774961773803,78,-1
rich_guidance_t0_nearzero,rich_guidance_moments,-0.017293124717655504,0.44388888888888894,0.556111111111111,-0.16216527784825832,0.48333333333333334,0.5433333333333333,0.07750604424635921,0.10956965108818537,-0.154021491480384,0.12996902352853548,0.017293124717655504,79,-1
guidance_t1,legacy_guidance,0.01205458880461788,0.4197222222222223,0.5802777777777777,-0.20587497950778502,0.4,0.51,0.0466991572326376,0.057559460534438,-0.1127469441987622,0.08036422710021451,0.01205458880461788,80,1
rich_guidance_t1_rms,rich_guidance_moments,0.012053391124317739,0.4197222222222223,0.5802777777777777,-0.2058751587739563,0.4,0.51,0.04669877872785597,0.057565533487351106,-0.11274695585141521,0.08036051828906325,0.012053391124317739,81,1
rich_guidance_t1_q75,rich_guidance_moments,0.011642990205584954,0.4097222222222222,0.5902777777777778,-0.2331566993513214,0.35,0.4866666666666667,0.06951325053028308,0.09006811932740602,-0.137025193405521,0.1267728976707392,0.011642990205584954,82,1
rich_guidance_t3_rms,rich_guidance_moments,-0.010766273176096032,0.3869444444444444,0.6130555555555556,-0.3446519090703753,0.2833333333333333,0.65,0.04032736183985123,0.05462584137935597,-0.09810511973949597,0.05811155385536767,0.010766273176096032,83,-1
guidance_t3,legacy_guidance,-0.010763002078184588,0.3869444444444444,0.6130555555555556,-0.3446520957261948,0.2833333333333333,0.65,0.04032684510333623,0.05462155962223223,-0.09810435069064712,0.05811278897126798,0.010763002078184588,84,-1
rich_guidance_t3_median,rich_guidance_moments,-0.010494432803439558,0.49694444444444447,0.5030555555555556,-0.061737227168201333,0.5333333333333333,0.5766666666666667,0.12322349538398446,0.16766114535736043,-0.24647027083757597,0.2253130787916431,0.010494432803439558,85,-1
rich_guidance_t3_q05,rich_guidance_moments,-0.008673947650014018,0.6077777777777779,0.6077777777777779,0.33010349508679865,0.6666666666666666,0.44666666666666666,0.044962167289520065,0.05861567976382159,-0.08317230137084429,0.08538583755286219,0.008673947650014018,86,-1
rich_guidance_t3_q95,rich_guidance_moments,-0.008341425676097173,0.39625,0.60375,-0.3062060634556495,0.35,0.5666666666666667,0.04878562873235364,0.06299048103569285,-0.10766925578150288,0.0857329172073466,0.008341425676097173,87,-1
rich_guidance_t2_maxabs,rich_guidance_moments,0.0050390494828979615,0.4188888888888889,0.5811111111111111,-0.19651272983851772,0.4166666666666667,0.44666666666666666,0.11021016931729294,0.15172567120350317,-0.2047121213866882,0.21583858689438354,0.0050390494828979615,88,1
guidance_std,legacy_guidance,0.005001390909487598,0.42055555555555557,0.5794444444444444,-0.33267023542696905,0.36666666666666664,0.48,0.08239782674543454,0.09645856207278325,-0.17370145492958589,0.1513723699491268,0.005001390909487598,89,1
rich_guidance_t3_var,rich_guidance_moments,0.004927580402350556,0.3869444444444444,0.6130555555555556,-0.32880199002029636,0.2833333333333333,0.41,0.05675605869375906,0.07355162837707288,-0.12666254213433525,0.0944017856037667,0.004927580402350556,90,1
rich_guidance_t4_absmean,rich_guidance_moments,0.0037581713617909707,0.5005555555555555,0.5005555555555555,0.013387800754877563,0.5,0.63,0.031064397135015912,0.04344837750957792,-0.04700064071400226,0.07181142677113501,0.0037581713617909707,91,1
guidance_slope,legacy_guidance,-0.003497097759290841,0.5966666666666667,0.5966666666666667,0.2186713300713646,0.6,0.39,0.028485148750203224,0.03945017816246441,-0.04439276147159488,0.06689543460731522,0.003497097759290841,92,-1
guidance_auc,legacy_guidance,0.0010657103689567298,0.43027777777777776,0.5697222222222222,-0.23572643910035562,0.3,0.52,0.02331157849506303,0.03271065404814305,-0.03903969085436284,0.05041273701296654,0.0010657103689567298,93,1
guidance_mean,legacy_guidance,0.0001819999985261211,0.44333333333333336,0.5566666666666666,-0.176069763987552,0.31666666666666665,0.53,0.024822441039150888,0.03424886156578856,-0.040484039625707534,0.05559796255604561,0.0001819999985261211,94,1
