held_generator,representation,model,n_features,inner_auroc,selected_c,selected_pca,auroc,auprc,balanced_accuracy,tpr_at_1pct_fpr,tpr_at_5pct_fpr,auroc_ci95
SD15,noise_magnitude,family_logistic,18,,100.0,,0.764,0.799174369696109,0.7,0.6,0.6,"[0.607273247347618, 0.8960206349206349]"
SDXL,noise_magnitude,family_logistic,18,,10.0,,0.504,0.585542478728027,0.485,0.32,0.32,"[0.34989197530864197, 0.6620205882352939]"
VQDM,noise_magnitude,family_logistic,18,,100.0,,0.6920000000000001,0.7739895942213532,0.595,0.64,0.64,"[0.531990513833992, 0.8413690476190476]"
Wukong,noise_magnitude,family_logistic,18,,100.0,,0.602,0.7152191754357453,0.6000000000000001,0.4,0.4,"[0.4464054823894641, 0.758338793103448]"
ADM,score_dynamics,family_logistic,99,,0.01,,0.652,0.6741673383513975,0.605,0.76,0.76,"[0.4890935344827586, 0.8046563025210084]"
BigGAN,score_dynamics,family_logistic,99,,0.1,,0.4080000000000001,0.5818399021079843,0.395,0.44,0.44,"[0.23595833333333335, 0.5773809523809523]"
DALLE2,score_dynamics,family_logistic,99,,0.01,,0.382,0.5093127952320232,0.41000000000000003,0.32,0.32,"[0.2122806088838697, 0.540948275862069]"
GLIDE,score_dynamics,family_logistic,99,,0.01,,0.748,0.7556758572617206,0.6799999999999999,0.76,0.76,"[0.587001357560568, 0.8765946502057613]"
Midjourney,score_dynamics,family_logistic,99,,0.01,,0.786,0.7842685770253341,0.6499999999999999,0.6,0.6,"[0.6275077160493827, 0.9120174603174603]"
SD14,score_dynamics,family_logistic,99,,0.01,,0.756,0.8208294768561832,0.7050000000000001,0.76,0.76,"[0.5971368421052632, 0.8940314229249011]"
SD15,score_dynamics,family_logistic,99,,0.01,,0.802,0.8387888584585454,0.72,0.64,0.64,"[0.6657386445957694, 0.9206427630340674]"
SDXL,score_dynamics,family_logistic,99,,0.01,,0.5640000000000001,0.6627474598937109,0.535,0.32,0.32,"[0.39300044091710756, 0.7307190260088808]"
VQDM,score_dynamics,family_logistic,99,,0.01,,0.758,0.825181298875872,0.655,0.76,0.76,"[0.59595, 0.906766456582633]"
Wukong,score_dynamics,family_logistic,99,,0.01,,0.57,0.6565297257559028,0.56,0.52,0.52,"[0.41092575187969926, 0.7202434977797296]"
ADM,latent_geometry,family_logistic,75,,10.0,,0.574,0.6267268243498894,0.555,0.56,0.56,"[0.40066050543024223, 0.7469907407407407]"
BigGAN,latent_geometry,family_logistic,75,,10.0,,0.45999999999999996,0.5799003808302156,0.42,0.24,0.24,"[0.2972907012402889, 0.6250128600823045]"
DALLE2,latent_geometry,family_logistic,75,,100.0,,0.376,0.529325943623527,0.395,0.24,0.24,"[0.21188433179723504, 0.5474265602888791]"
GLIDE,latent_geometry,family_logistic,75,,100.0,,0.7999999999999999,0.8659855663262519,0.71,0.72,0.72,"[0.6533273109243698, 0.8990625]"
Midjourney,latent_geometry,family_logistic,75,,1.0,,0.702,0.7861416690272558,0.7050000000000001,0.56,0.56,"[0.5509973009446694, 0.8333829365079365]"
SD14,latent_geometry,family_logistic,75,,10.0,,0.746,0.7489121457238519,0.73,0.76,0.76,"[0.6053810575422165, 0.8845555555555555]"
SD15,latent_geometry,family_logistic,75,,10.0,,0.81,0.8550049241077645,0.75,0.8,0.8,"[0.6680130116562754, 0.918991850875909]"
SDXL,latent_geometry,family_logistic,75,,1.0,,0.574,0.6849892287992443,0.62,0.44,0.44,"[0.3967367777150386, 0.7193790888646586]"
VQDM,latent_geometry,family_logistic,75,,1.0,,0.61,0.7002325000268672,0.515,0.48,0.48,"[0.44069367588932806, 0.7935254803675855]"
Wukong,latent_geometry,family_logistic,75,,1.0,,0.65,0.7101981446772406,0.5800000000000001,0.56,0.56,"[0.4979263157894737, 0.7960074074074074]"
ADM,alignment,family_logistic,75,,100.0,,0.64,0.6254628036308783,0.685,0.72,0.72,"[0.4803661398467433, 0.8220033596837945]"
BigGAN,alignment,family_logistic,75,,100.0,,0.46799999999999997,0.5624810392766266,0.485,0.32,0.32,"[0.2901072124756335, 0.6442580246913577]"
DALLE2,alignment,family_logistic,75,,100.0,,0.438,0.5654062013613708,0.45999999999999996,0.32,0.32,"[0.2638110632183909, 0.6316872427983539]"
GLIDE,alignment,family_logistic,75,,100.0,,0.7000000000000001,0.7768050152924946,0.645,0.64,0.64,"[0.5495776701368807, 0.8365694444444445]"
Midjourney,alignment,family_logistic,75,,100.0,,0.676,0.6796940047458124,0.615,0.68,0.68,"[0.520997596569492, 0.8320667081232112]"
SD14,alignment,family_logistic,75,,100.0,,0.67,0.7280504845107763,0.61,0.72,0.72,"[0.49396936758893273, 0.8295015586879912]"
SD15,alignment,family_logistic,75,,100.0,,0.7,0.7918269710891672,0.635,0.72,0.72,"[0.5441016624040922, 0.8538179497847689]"
SDXL,alignment,family_logistic,75,,100.0,,0.352,0.47980294343687435,0.41,0.12,0.12,"[0.2034584980237154, 0.5376343788333106]"
VQDM,alignment,family_logistic,75,,100.0,,0.486,0.5678954959991924,0.48,0.36,0.36,"[0.31372105263157896, 0.6668522267206476]"
Wukong,alignment,family_logistic,75,,100.0,,0.708,0.7684634487377257,0.6499999999999999,0.6,0.6,"[0.5416500000000001, 0.8552521008403359]"
ADM,conditional_geometry,family_logistic,45,,1.0,,0.514,0.5616591866568093,0.46499999999999997,0.48,0.48,"[0.33987154150197635, 0.6933888888888888]"
BigGAN,conditional_geometry,family_logistic,45,,1.0,,0.702,0.7109771581130715,0.615,0.48,0.48,"[0.5539345849802372, 0.846988745210728]"
