generator,condition,feature,stage,paired_cohens_d,univariate_auroc,n_pairs,clean_d,clean_auroc,d_retained_frac,auroc_change
amused,center_crop,pixel_l1_roundtrip,roundtrip,-1.3458049925110713,0.85,10,-0.6164443866552081,0.78,2.183173408088493,0.06999999999999995
amused,center_crop,lpips_roundtrip,roundtrip,-1.7294119440180373,0.9400000000000001,10,-1.8574834892141998,0.97,0.9310510451695361,-0.029999999999999916
amused,center_crop,latent_mse_roundtrip,roundtrip,-0.00573333334174238,0.54,10,0.26748457121974223,0.5599999999999999,-0.021434258116638693,-0.019999999999999907
amused,clean,lpips_ae,vae,-2.208920800565451,1.0,10,-2.208920800565451,1.0,1.0,0.0
amused,clean,pixel_mse_ae,vae,-1.1052627536345432,0.9,10,-1.1052627536345432,0.9,1.0,0.0
amused,clean,latent_mse_ae,vae,-0.48318348005466066,0.6699999999999999,10,-0.48318348005466066,0.6699999999999999,1.0,0.0
amused,clean,lare_t200,score,-2.093946415435116,0.92,10,-2.093946415435116,0.92,1.0,0.0
amused,clean,score_norm_step0,score,0.9963757007378197,0.8099999999999999,10,0.9963757007378197,0.8099999999999999,1.0,0.0
amused,clean,diffpath_curvature,trajectory,-0.6001292757234822,0.7,10,-0.6001292757234822,0.7,1.0,0.0
amused,clean,path_length,trajectory,1.3938684128189542,0.9400000000000001,10,1.3938684128189542,0.9400000000000001,1.0,0.0
amused,clean,pixel_l1_roundtrip,roundtrip,-0.6164443866552081,0.78,10,-0.6164443866552081,0.78,1.0,0.0
amused,clean,lpips_roundtrip,roundtrip,-1.8574834892141998,0.97,10,-1.8574834892141998,0.97,1.0,0.0
amused,clean,latent_mse_roundtrip,roundtrip,0.26748457121974223,0.5599999999999999,10,0.26748457121974223,0.5599999999999999,1.0,0.0
amused,jpeg,lpips_ae,vae,-2.0482617970753845,0.99,10,-2.208920800565451,1.0,0.9272681014869614,-0.010000000000000009
amused,jpeg,pixel_mse_ae,vae,-1.1021682152630983,0.9,10,-1.1052627536345432,0.9,0.9972001785446322,0.0
amused,jpeg,latent_mse_ae,vae,-0.4087836821258897,0.66,10,-0.48318348005466066,0.6699999999999999,0.8460216439511666,-0.009999999999999898
amused,jpeg,lare_t200,score,-1.941199795350015,0.89,10,-2.093946415435116,0.92,0.927053233569322,-0.030000000000000027
amused,jpeg,score_norm_step0,score,0.5979556276039631,0.73,10,0.9963757007378197,0.8099999999999999,0.6001306807875533,-0.07999999999999996
amused,jpeg,diffpath_curvature,trajectory,0.16390147658870757,0.56,10,-0.6001292757234822,0.7,-0.27311028343204413,-0.1399999999999999
amused,jpeg,path_length,trajectory,1.460003686320658,0.9500000000000001,10,1.3938684128189542,0.9400000000000001,1.0474472861953676,0.010000000000000009
amused,jpeg,pixel_l1_roundtrip,roundtrip,-0.6018357761123907,0.77,10,-0.6164443866552081,0.78,0.9763018191761258,-0.010000000000000009
amused,jpeg,lpips_roundtrip,roundtrip,-1.421073137950099,0.95,10,-1.8574834892141998,0.97,0.765052904212504,-0.020000000000000018
amused,jpeg,latent_mse_roundtrip,roundtrip,0.293596377077615,0.61,10,0.26748457121974223,0.5599999999999999,1.0976198579933103,0.050000000000000044
amused,resize,lpips_ae,vae,-2.204597665616167,1.0,10,-2.208920800565451,1.0,0.9980428746253931,0.0
amused,resize,pixel_mse_ae,vae,-1.0613821610148335,0.89,10,-1.1052627536345432,0.9,0.9602984969181194,-0.010000000000000009
amused,resize,latent_mse_ae,vae,-0.8502276260138218,0.75,10,-0.48318348005466066,0.6699999999999999,1.7596372001742255,0.08000000000000007
amused,resize,lare_t200,score,-2.0288878574543547,0.92,10,-2.093946415435116,0.92,0.9689301705615794,0.0
amused,resize,score_norm_step0,score,1.007905181207109,0.7999999999999999,10,0.9963757007378197,0.8099999999999999,1.0115714187537408,-0.010000000000000009
amused,resize,diffpath_curvature,trajectory,-0.5275489602078993,0.68,10,-0.6001292757234822,0.7,0.8790588653951532,-0.019999999999999907
amused,resize,path_length,trajectory,1.3955503533517253,0.9400000000000001,10,1.3938684128189542,0.9400000000000001,1.0012066709578198,0.0
amused,resize,pixel_l1_roundtrip,roundtrip,-0.6817445065555205,0.79,10,-0.6164443866552081,0.78,1.1059302693218236,0.010000000000000009
amused,resize,lpips_roundtrip,roundtrip,-2.2253209020599045,0.99,10,-1.8574834892141998,0.97,1.1980299771069927,0.020000000000000018
amused,resize,latent_mse_roundtrip,roundtrip,0.2710450979582615,0.59,10,0.26748457121974223,0.5599999999999999,1.0133111480870955,0.030000000000000027
