feature,family,paired_d,frac_fake_higher,abs_d
rich_guidance_t2_q95,rich_guidance_moments,-0.3335970445720156,0.38333333333333336,0.3335970445720156
rich_score_t3_q75,rich_score_moments,-0.33357180880643206,0.3333333333333333,0.33357180880643206
guidance_std,legacy_guidance,-0.33267023542696905,0.36666666666666664,0.33267023542696905
path_length,legacy_geometry,-0.3325134827817648,0.4166666666666667,0.3325134827817648
speed_mean,legacy_geometry,-0.3325134827647563,0.4166666666666667,0.3325134827647563
rich_latent_step_mean,rich_latent_geometry,-0.3325134827647563,0.4166666666666667,0.3325134827647563
guidance_t2,legacy_guidance,-0.3323396946255591,0.36666666666666664,0.3323396946255591
rich_guidance_t2_rms,rich_guidance_moments,-0.33233879635269403,0.36666666666666664,0.33233879635269403
rich_latent_t2_absmean,rich_latent_typicality,-0.33149176823320714,0.4,0.33149176823320714
rich_guidance_t3_q05,rich_guidance_moments,0.33010349508679865,0.6666666666666666,0.33010349508679865
rich_cond_uncond_cos_max,rich_alignment,-0.32963013332119695,0.38333333333333336,0.32963013332119695
rich_guidance_t2_q25,rich_guidance_moments,0.32955781033909787,0.6333333333333333,0.32955781033909787
rich_guidance_t3_var,rich_guidance_moments,-0.32880199002029636,0.2833333333333333,0.32880199002029636
rich_score_t3_q25,rich_score_moments,0.32864148220785083,0.6333333333333333,0.32864148220785083
rich_latent_turn_angle_auc,rich_latent_geometry,-0.32830116987211566,0.4,0.32830116987211566
rich_score_crosscos_1_4,rich_crosstime,0.32724903746208184,0.6,0.32724903746208184
rich_score_t1_q95,rich_score_moments,-0.32568960720292905,0.3333333333333333,0.32568960720292905
rich_latent_step_middle,rich_latent_geometry,-0.32439022620778374,0.43333333333333335,0.32439022620778374
rich_latent_t1_extreme3,rich_latent_typicality,0.32233911883165756,0.55,0.32233911883165756
rich_dz_crosscos_0_2,rich_crosstime,0.32227353904819833,0.6666666666666666,0.32227353904819833
rich_latent_t0_extreme3,rich_latent_typicality,0.3221553696871085,0.55,0.3221553696871085
rich_score_t3_v_autocorr,rich_score_spatial,0.32174991494742017,0.6,0.32174991494742017
rich_score_t4_fft_mid,rich_score_fft,0.3213236165342931,0.65,0.3213236165342931
rich_uncond_dz_align_t4,rich_alignment,-0.3181074705359565,0.35,0.3181074705359565
rich_score_consecutive_cos_slope,rich_score_dynamics,-0.31750937728561435,0.3,0.31750937728561435
rich_guidance_t5_absmean,rich_guidance_moments,0.31649598571453097,0.6166666666666667,0.31649598571453097
rich_cond_dz_align_t4,rich_alignment,-0.31470727826204126,0.31666666666666665,0.31470727826204126
rich_latent_turn_angle_slope,rich_latent_geometry,0.3138332192733057,0.7166666666666667,0.3138332192733057
rich_score_t1_q75,rich_score_moments,-0.3124524286605245,0.35,0.3124524286605245
rich_guidance_t5_q05,rich_guidance_moments,-0.3121222230128996,0.36666666666666664,0.3121222230128996
rich_guidance_t3_q95,rich_guidance_moments,-0.3062060634556495,0.35,0.3062060634556495
rich_guidance_t5_q95,rich_guidance_moments,0.3057255478012382,0.65,0.3057255478012382
rich_score_t0_channel_ratio,rich_score_spatial,-0.3040603903968438,0.4166666666666667,0.3040603903968438
rich_guidance_dz_align_t2,rich_alignment,-0.30368450999106467,0.38333333333333336,0.30368450999106467
rich_score_t1_fft_high,rich_score_fft,-0.3025302858119105,0.35,0.3025302858119105
rich_guidance_t4_maxabs,rich_guidance_moments,0.30168813880674955,0.5833333333333334,0.30168813880674955
rich_score_t2_q75,rich_score_moments,-0.3009951276876096,0.36666666666666664,0.3009951276876096
rich_score_t5_v_autocorr,rich_score_spatial,0.3009800759890158,0.6,0.3009800759890158
rich_score_t1_fft_mid,rich_score_fft,0.3003147754474674,0.7,0.3003147754474674
rich_cond_uncond_cos_t3,rich_alignment,0.29874684033405424,0.7166666666666667,0.29874684033405424
rich_score_t5_fft_centroid,rich_score_fft,-0.29757982461957866,0.38333333333333336,0.29757982461957866
rich_latent_step_t3,rich_latent_geometry,-0.29756345663437533,0.45,0.29756345663437533
rich_guidance_t5_rms,rich_guidance_moments,0.297122186068753,0.65,0.297122186068753
guidance_t5,legacy_guidance,0.2971197760587046,0.65,0.2971197760587046
rich_cond_uncond_cos_t5,rich_alignment,-0.29703006538794996,0.35,0.29703006538794996
rich_cond_uncond_cos_t2,rich_alignment,0.2943826829672237,0.6,0.2943826829672237
