curve,group,step,n,mean,median,std
latent_step,SD14,1,5,0.1885333749068848,0.18836934175582182,0.01049281760333225
latent_step,SD14,2,5,0.14606812925411883,0.14598451465302092,0.0070913847664981645
latent_step,SD14,3,5,0.13748621932486266,0.13713476453701096,0.011256983797532441
latent_step,SD14,4,5,0.11323282161122324,0.1096513421780118,0.013986027045682877
latent_step,SD14,5,5,0.07542489439483337,0.0696940959028756,0.013054296346213528
latent_step,SDXL,0,5,0.0030541615651858934,0.0030105405401391113,0.0005923440563356824
latent_step,SDXL,1,5,0.1854371426030276,0.1847441980991918,0.012530558277570629
latent_step,SDXL,2,5,0.13478043189066885,0.1379575882050963,0.00917417985539102
latent_step,SDXL,3,5,0.12153271975129579,0.12516604585935115,0.012465342517068096
latent_step,SDXL,4,5,0.09413423843830422,0.09671335698822961,0.013660254540111355
latent_step,SDXL,5,5,0.05995048421645209,0.06499084370167633,0.01170907718470083
latent_step,VQDM,0,5,0.0028104611904821468,0.002686255898713425,0.000802029991641845
latent_step,VQDM,1,5,0.22692952433089136,0.24251498602231267,0.0283870217131494
latent_step,VQDM,2,5,0.2035585763472853,0.21018776398686181,0.04155426104606446
latent_step,VQDM,3,5,0.2125805929341226,0.2177337242311218,0.05934285587544609
latent_step,VQDM,4,5,0.19102893218060815,0.193349543657735,0.06411462184778992
latent_step,VQDM,5,5,0.13957425471028354,0.13923584467521335,0.05581704754196524
score_fft_high_low,real,0,40,12.359174497340616,12.470330149735187,2.2542138483844347
score_fft_high_low,real,1,40,9.152872894277326,9.120138547584425,1.390702827959741
score_fft_high_low,real,2,40,9.15512816355849,9.159165854384835,1.2064779214518604
score_fft_high_low,real,3,40,9.10526822662889,9.19139899434744,1.3715166231478295
score_fft_high_low,real,4,40,8.456983453728151,8.411573889792216,1.1332731518388048
score_fft_high_low,real,5,40,7.79330618418567,7.737496896142865,1.006207986539947
score_fft_high_low,ADM,0,5,13.695077136193046,13.546103787574026,0.9686385886941519
score_fft_high_low,ADM,1,5,9.132310293098318,9.290881112077233,1.0592497807872403
score_fft_high_low,ADM,2,5,9.051898494717658,9.098677840233531,1.1427122754652148
score_fft_high_low,ADM,3,5,8.97569633306439,8.973264941798787,0.45375672215334834
score_fft_high_low,ADM,4,5,8.553748499584454,8.563958442552162,0.6208911806856982
score_fft_high_low,ADM,5,5,8.375840783888318,7.876626277404554,0.7170992675690739
